reg_no,code,grade,credits
2000030001,20SC1101,B+,5.5
2000030001,20UC1101,B+,2
2000030001,20EC1101,A,4
2000030001,20ME1103,A,2
2000030001,20CS2210RA,B+,4
2000030001,20CS2105R,A,4
2000030001,20TS2290AA,A,4
2000030001,20CS2220RA,A,5
2000030001,20CS2221AA,B+,7
2000030001,20CS2222AA,B+,6
2000030001,20UC2204,B,2
2000030001,20MT1101,A,4.5
2000030001,20IE2050,A,2
2000030001,20UC2103,P,2
2000030001,20UC1203,B+,2
2000030001,20TS2101S,A,2
2000030001,20CS2105A,DT,0
2000030001,20CS2104S,B,4.5
2000030001,20CS2205R,C,4
2000030001,20CS2103S,C,4.5
2000030001,20SP2117,P,0
2000030001,20CS3297AA,O,4
2000030001,19CS1203,B+,4.75
2000030001,20CS3EL02A,P,0
2000030001,20OE4234M,O,4
2000030001,20CS3273M,A,3
2000030001,20UC0012M,O,2
2000030001,20CS3235AA,"O(O,O)",5
2000030001,20CS3270RA,A,3
2000030001,20CS3269AA,B+,6
2000030001,20CS3EL01A,P,0
2000030001,20CS2107RA,O,4
2000030001,20TS3103AA,P,4
2000030001,19SC1202,"A(A,F)",4.75
2000030001,20CS3061AA,"B+(B+,F)",5
2000030001,20CS3022RA,B+,3
2000030001,20CS3020AA,A,6
2000030001,20UC3005,C,2
2000030001,19SC1209,O,2
2000030001,19EC1202,B+,2
2000030001,19MT2102,A,3
2000030001,20UC1202,B,2
2000030001,20UC1102,A,2
2000030002,20SC1101,"A(F,A)",5.5
2000030002,20EC1101,A,4
2000030002,20ME1103,B,2
2000030002,20UC1202,B,2
2000030002,20IE2050,A,2
2000030002,20UC2204,A,2
2000030002,20OE4004M,A+,4
2000030002,20CS2210RA,B+,4
2000030002,20CS2222RA,B+,4
2000030002,20CS2221AA,"A(DT,A)",7
2000030002,20CS2220RA,B+,5
2000030002,20MT1101,A,4.5
2000030002,20TS2290AA,"A(DT,A)",4
2000030002,20UC1203,A,2
2000030002,20SP2117,P,0
2000030002,18OE4002M,A,4
2000030002,20CS2103S,"A+(F,C,A+)",4.5
2000030002,20CS2205R,B,4
2000030002,20CS2104S,"B(B,F)",4.5
2000030002,20TS2101S,A+,2
2000030002,20CS2105R,"B(F,B)",4
2000030002,20UC2103,"C(F,C)",2
2000030002,19CS1203,B+,4.75
2000030002,20TS3103AA,"O(O,C)",4
2000030002,20CS3061AA,"F(F,DT)",0
2000030002,20CS3297AA,O,4
2000030002,20CS3EL02A,P,0
2000030002,20OE4234M,O,4
2000030002,20UC0012M,O,2
2000030002,20CS3204AA,A+,5
2000030002,20CS3268RA,O,3
2000030002,20CS3278RA,O,3
2000030002,20CS3266AA,O,6
2000030002,19SC1202,A,4.75
2000030002,20CS3EL01A,P,0
2000030002,20CS2107RA,F,0
2000030002,20CS3064RA,O,3
2000030002,20CS3071AA,B+,6
2000030002,20UC3005,B,2
2000030002,19SC1209,A+,2
2000030002,19EC1202,B+,2
2000030002,19MT2102,B+,3
2000030002,20UC1102,B,2
2000030002,20UC1101,A,2
2000030007,20SC1101,A,5.5
2000030007,20UC1101,A,2
2000030007,20EC1101,A+,4
2000030007,20ME1103,A+,2
2000030007,20IE2246RA,O,2
2000030007,20CC3000,P,0
2000030007,20CS3235AA,O,5
2000030007,20CS2107AA,O,6
2000030007,20TS2290AA,A+,4
2000030007,20CS2220RA,O,5
2000030007,20CS2221AA,A+,7
2000030007,20MT1101,A+,4.5
2000030007,20CS2222AA,A+,6
2000030007,20CS2210RA,A,4
2000030007,20UC2204,A,2
2000030007,18OE4002M,A,4
2000030007,20IE2050,A+,2
2000030007,20CS2103S,A,4.5
2000030007,20CS2205R,A+,4
2000030007,20CS2104A,A+,6.5
2000030007,20CS2105A,A+,6
2000030007,20TS2101S,A+,2
2000030007,19CS1203,A+,4.75
2000030007,20UC1203,A+,2
2000030007,20UC2103,B,2
2000030007,20SP2117,P,0
2000030007,20CC3040,P,0
2000030007,20CS3297AA,O,4
2000030007,20CS3EL02A,P,0
2000030007,20OE4234M,O,4
2000030007,20UC0012M,O,2
2000030007,20CS3061AA,A+,5
2000030007,20CS3274RA,A+,3
2000030007,19SC1202,A+,4.75
