reg_no,code
2000030001, 20IE3043RA
2000030002, 20IE3043RA
2000030007, 20IE3043RA
2000030010, 20IE3043RA
2000030013, 20IE3043RA
2000030016, 20IE3043RA
2000030017, 20IE3043RA
2000030018, 20IE3043RA
2000030020, 20IE3043RA
2000030021, 20IE3043RA
2000030022, 20IE3043RA
2000030023, 20IE3043RA
2000030024, 20IE3043RA
2000030028, 20IE3043RA
2000030038, 20IE3043RA
2000030043, 20IE3043RA
2000030045, 20IE3043RA
2000030046, 20IE3043RA
2000030048, 20IE3043RA
2000030049, 20IE3043RA
2000030055, 20IE3043RA
2000030057, 20IE3043RA
2000030068, 20IE3043RA
2000030071, 20IE3043RA
2000030076, 20IE3043RA
2000030077, 20IE3043RA
2000030080, 20IE3043RA
2000030081, 20IE3043RA
2000030089, 20IE3043RA
2000030090, 20IE3043RA
2000030096, 20IE3043RA
2000030099, 20IE3043RA
2000030102, 20IE3043RA
2000030103, 20IE3043RA
2000030106, 20IE3043RA
2000030114, 20IE3043RA
2000030117, 20IE3043RA
2000030118, 20IE3043RA
2000030119, 20IE3043RA
2000030120, 20IE3043RA
2000030122, 20IE3043RA
2000030124, 20IE3043RA
2000030132, 20IE3043RA
2000030134, 20IE3043RA
2000030135, 20IE3043RA
2000030136, 20IE3043RA
2000030137, 20IE3043RA
2000030140, 20IE3043RA
2000030145, 20IE3043RA
2000030147, 20IE3043RA
2000030148, 20IE3043RA
2000030152, 20IE3043RA
2000030153, 20IE3043RA
2000030158, 20IE3043RA
2000030162, 20IE3043RA
2000030165, 20IE3043RA
2000030167, 20IE3043RA
2000030172, 20IE3043RA
2000030173, 20IE3043RA
2000030174, 20IE3043RA
2000030176, 20IE3043RA
2000030177, 20IE3043RA
2000030178, 20IE3043RA
2000030180, 20IE3043RA
2000030183, 20IE3043RA
2000030185, 20IE3043RA
2000030186, 20IE3043RA
2000030187, 20IE3043RA
2000030189, 20IE3043RA
2000030190, 20IE3043RA
2000030191, 20IE3043RA
2000030192, 20IE3043RA
2000030196, 20IE3043RA
2000030197, 20IE3043RA
2000030198, 20IE3043RA
2000030199, 20IE3043RA
2000030200, 20IE3043RA
2000030202, 20IE3043RA
2000030207, 20IE3043RA
2000030210, 20IE3043RA
2000030211, 20IE3043RA
2000030214, 20IE3043RA
2000030226, 20IE3043RA
2000030231, 20IE3043RA
2000030232, 20IE3043RA
