category,code,title
Humanities & Social Sciences (HSS),20UC1101J,INTEGRATED PROFESSIONAL ENGLISH
Humanities & Social Sciences (HSS),20UC1101S,INTEGRATED PROFESSIONAL ENGLISH
Humanities & Social Sciences (HSS),20UC1101N,INTEGRATED PROFESSIONAL ENGLISH
Humanities & Social Sciences (HSS),20UC1101,INTEGRATED PROFESSIONAL ENGLISH
Humanities & Social Sciences (HSS),20UC1202N,ENGLISH PROFICIENCY
Humanities & Social Sciences (HSS),20UC1202J,ENGLISH PROFICIENCY
Humanities & Social Sciences (HSS),20UC1202,ENGLISH PROFICIENCY
Humanities & Social Sciences (HSS),20UC2103,PROFESSIONAL COMMUNICATION SKILLS
Humanities & Social Sciences (HSS),20UC2204,CORPORATE COMMUNICATION SKILLS
Humanities & Social Sciences (HSS),20UC3005,APTITUDE BUILDER
Humanities & Social Sciences (HSS),20UC0010,UNIVERSAL HUMAN VALUES & PROFESSIONAL ETHICS (UHPE)
Humanities & Social Sciences (HSS),20UC0010M,UNIVERSAL HUMAN VALUES & PROFESSIONAL ETHICS (UHPE)
Humanities & Social Sciences (HSS),20UC0012M,GENDER SENSATIZATION
Basic Sciences (BS),20MT1101S,MATHEMATICS FOR COMPUTING
Basic Sciences (BS),20MT1101N,MATHEMATICS FOR COMPUTING
Basic Sciences (BS),20MT1101J,MATHEMATICS FOR COMPUTING
Basic Sciences (BS),20MT1101,MATHEMATICS FOR COMPUTING
Basic Sciences (BS),19MT2102J,MATHEMATICS FOR ENGINEERS
Basic Sciences (BS),19MT2102N,MATHEMATICS FOR ENGINEERS
Basic Sciences (BS),19MT2102,MATHEMATICS FOR ENGINEERS
Basic Sciences (BS),20CS2105R,MATHEMATICAL PROGRAMMING - 1
Basic Sciences (BS),20CS2105A,MATHEMATICAL PROGRAMMING - 1
Basic Sciences (BS),20CS2105P,MATHEMATICAL PROGRAMMING - 1
Basic Sciences (BS),20CS2210RA,MATHEMATICAL PROGRAMMING - 2
Basic Sciences (BS),20CS2210RB,MATHEMATICAL PROGRAMMING - 2
Basic Sciences (BS),20CS2210PA,MATHEMATICAL PROGRAMMING - 2
Basic Sciences (BS),20CS2210RG,MATHEMATICAL PROGRAMMING - 2
Basic Sciences (BS),20UC1102,DESIGN THINKING & INNOVATION -1
Basic Sciences (BS),20UC1102.,DESIGN THINKING & INNOVATION -1
Basic Sciences (BS),20UC1102N,DESIGN THINKING & INNOVATION -1
Basic Sciences (BS),20UC1102J,DESIGN THINKING & INNOVATION -1
Basic Sciences (BS),20UC1203,DESIGN THINKING & INNOVATION -2
Engineering Sciences (ES),20SC1101J,COMPUTATIONAL THINKING FOR DESIGN
Engineering Sciences (ES),20SC1101N,COMPUTATIONAL THINKING FOR DESIGN
Engineering Sciences (ES),20SC1101S,COMPUTATIONAL THINKING FOR DESIGN
Engineering Sciences (ES),20SC1101,COMPUTATIONAL THINKING FOR DESIGN
Engineering Sciences (ES),20ME1103N,DESIGN TOOLS WORKSHOP - 1
Engineering Sciences (ES),20ME1103J,DESIGN TOOLS WORKSHOP - 1
Engineering Sciences (ES),20ME1103S,DESIGN TOOLS WORKSHOP - 1
Engineering Sciences (ES),20ME1103,DESIGN TOOLS WORKSHOP - 1
Engineering Sciences (ES),20EC1101N,DIGITAL LOGIC & PROCESSORS
Engineering Sciences (ES),20EC1101S,DIGITAL LOGIC & PROCESSORS
Engineering Sciences (ES),20EC1101J,DIGITAL LOGIC & PROCESSORS
Engineering Sciences (ES),20EC1101,DIGITAL LOGIC & PROCESSORS
Engineering Sciences (ES),19CS1203N,OBJECT ORIENTED PROGRAMMING
Engineering Sciences (ES),19CS1203J,OBJECT ORIENTED PROGRAMMING
Engineering Sciences (ES),19CS1203,OBJECT ORIENTED PROGRAMMING
Engineering Sciences (ES),19SC1202N,DATA STRUCTURES
Engineering Sciences (ES),19SC1202J,DATA STRUCTURES
Engineering Sciences (ES),19SC1202,DATA STRUCTURES
Engineering Sciences (ES),19SC1209N,DESIGN TOOLS WORKSHOP - II
Engineering Sciences (ES),19SC1209J,DESIGN TOOLS WORKSHOP - II
Engineering Sciences (ES),19SC1209,DESIGN TOOLS WORKSHOP - II
Engineering Sciences (ES),19EC1202N,COMPUTER ORGANIZATION & ARCHITECTURE
